x,y1,y2
0.0,16557.0,2258.0
0.01,16607.0,2258.0
0.02,16594.0,2257.0
0.03,16546.0,2257.0
0.04,16584.0,2258.0
0.05,16556.0,2260.0
0.06,16530.0,2255.0
0.07,16596.0,2257.0
0.08,16605.0,2259.0
0.09,16589.0,2258.0
0.1,16630.0,2258.0
0.11,16637.0,2260.0
0.12,16606.0,2261.0
0.13,16617.0,2261.0
0.14,16624.0,2263.0
0.15,16614.0,2264.0
0.16,16640.0,2263.0
0.17,16649.0,2266.0
0.18,16633.0,2265.0
0.19,16664.0,2261.0
0.2,16674.0,2268.0
0.21,16648.0,2265.0
0.22,16662.0,2265.0
0.23,16669.0,2262.0
0.24,16690.0,2265.0
0.25,16726.0,2260.0
0.26,16709.0,2266.0
0.27,16683.0,2264.0
0.28,16727.0,2266.0
0.29,16723.0,2266.0
0.3,16718.0,2264.0
0.31,16764.0,2265.0
0.32,16773.0,2262.0
0.33,16781.0,2263.0
0.34,16807.0,2263.0
0.35,16799.0,2268.0
0.36,16777.0,2264.0
0.37,16814.0,2266.0
0.38,16833.0,2268.0
0.39,16828.0,2262.0
0.4,16890.0,2266.0
0.41,16883.0,2266.0
0.42,16856.0,2264.0
0.43,16912.0,2264.0
0.44,16918.0,2265.0
0.45,16903.0,2262.0
0.46,16942.0,2264.0
0.47,16953.0,2263.0
0.48,16923.0,2262.0
0.49,16988.0,2259.0
0.5,16995.0,2264.0
0.51,16973.0,2262.0
0.52,17008.0,2264.0
0.53,17017.0,2262.0
0.54,16981.0,2265.0
0.55,17036.0,2264.0
0.56,17042.0,2266.0
0.57,17017.0,2264.0
0.58,17065.0,2266.0
0.59,17077.0,2265.0
0.6,17048.0,2265.0
0.61,17089.0,2263.0
0.62,17094.0,2266.0
0.63,17061.0,2261.0
0.64,17114.0,2260.0
0.65,17137.0,2265.0
0.66,17101.0,2265.0
0.67,17121.0,2267.0
0.68,17147.0,2263.0
0.69,17102.0,2261.0
0.7,17119.0,2260.0
0.71,17120.0,2264.0
